,YEAR,SEX,AGE,INCOME,COHORT,RACE,EDUC,REALINC,WTSSALL
0,1972,2,23,0,1949,1,16,18951,.4446
1,1972,1,70,0,1902,1,10,24366,.8893
2,1972,2,48,0,1924,1,12,24366,.8893
3,1972,2,27,0,1945,1,17,30458,.8893
4,1972,2,61,0,1911,1,12,50763,.8893
5,1972,1,26,0,1946,1,14,43994,.4446
6,1972,1,28,0,1944,1,13,37226,.4446
7,1972,1,27,0,1945,1,16,13537,.4446
8,1972,2,21,0,1951,2,12,2707,.4446
9,1972,2,30,0,1942,2,12,18951,.8893
10,1972,2,30,0,1942,2,13,13537,.8893
11,1972,1,56,0,1916,2,6,13537,1.3339
12,1972,1,54,0,1918,2,9,13537,.8893
13,1972,2,49,0,1923,2,8,13537,1.3339
14,1972,1,41,0,1931,2,9,18951,.8893
15,1972,1,54,0,1918,2,14,13537,.8893
16,1972,1,24,0,1948,1,14,24366,.8893
17,1972,2,62,0,1910,1,8,18951,.8893
18,1972,2,46,0,1926,1,17,43994,1.3339
19,1972,2,21,0,1951,1,14,50763,1.7786
20,1972,1,57,0,1915,1,12,37226,.8893
21,1972,1,58,0,1914,1,11,60915,.8893
22,1972,1,21,0,1951,1,13,13537,.8893
23,1972,2,26,0,1946,1,12,18951,.8893
24,1972,2,71,0,1901,1,16,30458,.8893
25,1972,2,53,0,1919,1,12,30458,.8893
26,1972,1,42,0,1930,1,12,30458,.8893
27,1972,2,42,0,1930,1,12,30458,.8893
28,1972,1,20,0,1952,1,12,0,.8893
29,1972,1,23,0,1949,1,9,30458,.8893
30,1972,1,26,0,1946,1,6,24366,.8893
31,1972,2,25,0,1947,1,14,24366,.8893
32,1972,1,26,0,1946,1,16,30458,1.3339
33,1972,2,78,0,1894,1,8,2707,.8893
34,1972,1,21,0,1951,1,12,13537,.8893
35,1972,1,27,0,1945,1,14,30458,.8893
36,1972,2,58,0,1914,1,13,50763,.8893
37,1972,2,35,0,1937,1,10,30458,.8893
38,1972,1,58,0,1914,1,6,18951,.4446
39,1972,2,51,0,1921,1,12,13537,.8893
40,1972,2,76,0,1896,1,8,2707,.4446
41,1972,1,53,0,1919,1,14,30458,.8893
42,1972,1,39,0,1933,1,8,13537,.8893
43,1972,2,64,0,1908,1,8,18951,.8893
44,1972,2,50,0,1922,1,8,74452,1.3339
45,1972,2,27,0,1945,1,12,0,.8893
46,1972,1,25,0,1947,1,14,60915,1.3339
47,1972,1,49,0,1923,1,12,18951,1.3339
48,1972,1,40,0,1932,1,9,30458,.8893
49,1972,1,43,0,1929,1,8,60915,1.3339
50,1972,1,46,0,1926,1,10,13537,1.3339
51,1972,1,37,0,1935,1,14,30458,.8893
52,1972,1,46,0,1926,1,9,18951,.8893
53,1972,2,22,0,1950,1,12,30458,.8893
54,1972,2,53,0,1919,1,10,43994,2.2232
55,1972,1,35,0,1937,1,12,37226,.8893
56,1972,2,31,0,1941,1,14,60915,.8893
57,1972,2,30,0,1942,1,12,37226,.8893
58,1972,2,37,0,1935,1,12,37226,.8893
59,1972,2,57,0,1915,1,11,60915,.8893
60,1972,1,39,0,1933,1,12,13537,.8893
61,1972,2,62,0,1910,1,9,13537,1.3339
62,1972,1,51,0,1921,1,12,13537,1.3339
63,1972,1,43,0,1929,1,11,13537,.8893
64,1972,1,39,0,1933,1,12,30458,.8893
65,1972,2,52,0,1920,1,8,24366,.8893
66,1972,1,30,0,1942,1,12,30458,.8893
67,1972,2,47,0,1925,1,12,0,.8893
68,1972,2,31,0,1941,1,12,30458,.8893
69,1972,1,25,0,1947,1,16,18951,.8893
70,1972,1,45,0,1927,1,7,43994,.8893
71,1972,2,30,0,1942,1,12,24366,.8893
72,1972,1,68,0,1904,1,8,8122,.8893
73,1972,2,63,0,1909,1,11,24366,.8893
74,1972,1,19,0,1953,1,12,43994,1.7786
75,1972,1,23,0,1949,1,16,37226,.8893
76,1972,2,46,0,1926,1,10,43994,1.3339
77,1972,2,55,0,1917,1,8,24366,.8893
78,1972,1,22,0,1950,1,14,74452,1.7786
79,1972,2,55,0,1917,1,12,30458,.8893
80,1972,1,44,0,1928,1,7,43994,1.7786
81,1972,2,41,0,1931,1,12,43994,.8893
82,1972,1,49,0,1923,1,15,43994,.4446
83,1972,2,28,0,1944,1,15,0,.8893
84,1972,1,21,0,1951,1,14,8122,.8893
85,1972,1,26,0,1946,1,17,30458,.8893
86,1972,2,31,0,1941,1,20,18951,.8893
87,1972,2,28,0,1944,1,18,13537,1.3339
88,1972,1,26,0,1946,1,17,18951,.8893
89,1972,2,20,0,1952,2,14,2707,.8893
90,1972,1,25,0,1947,1,16,30458,.8893
91,1972,2,57,0,1915,1,12,30458,1.3339
92,1972,2,58,0,1914,1,13,37226,1.3339
93,1972,1,54,0,1918,1,14,37226,.8893
94,1972,2,35,0,1937,1,16,30458,.8893
